postalCode	placeName	adminName1	latitude	longitude
01410	Mijoux	Rhône-Alpes	46.3662	5.9956
01410	Champfromier	Rhône-Alpes	46.1925	5.8162
01410	Chézery-Forens	Rhône-Alpes	46.2223	5.8687
01410	Lélex	Rhône-Alpes	46.3057	5.9437
01420	Bureau de Poste de Seyssel	Rhône-Alpes	45.9578	5.8319
01420	Surjoux	Rhône-Alpes	46.0227	5.8021
01420	Chanay	Rhône-Alpes	46.0064	5.7878
01420	Lhôpital	Rhône-Alpes	46.0219	5.7796
01420	Corbonod	Rhône-Alpes	45.9669	5.8226
01420	Seyssel	Rhône-Alpes	45.959	5.8313
01430	Vieu-d'Izenave	Rhône-Alpes	46.0814	5.5292
01430	Peyriat	Rhône-Alpes	46.1554	5.5112
01430	Chevillard	Rhône-Alpes	46.1097	5.5814
01430	Lantenay	Rhône-Alpes	46.0572	5.5422
01430	Ceignes	Rhône-Alpes	46.1214	5.4991
01430	Condamine	Rhône-Alpes	46.1092	5.5525
01430	Saint-Martin-du-Frêne	Rhône-Alpes	46.1386	5.553
01430	Izenave	Rhône-Alpes	46.0388	5.5259
01430	Outriaz	Rhône-Alpes	46.0669	5.5474
01430	Maillat	Rhône-Alpes	46.1276	5.5359
01440	Bureau de Poste de Viriat	Rhône-Alpes	46.2537	5.2157
01440	Viriat	Rhône-Alpes	46.2548	5.2157
01450	Serrières-sur-Ain	Rhône-Alpes	46.1523	5.4526
01450	Bureau de Poste de Poncin	Rhône-Alpes	46.0858	5.4063
01450	Labalme	Rhône-Alpes	46.0941	5.4838
01450	Leyssard	Rhône-Alpes	46.1554	5.4753
01450	Saint-Alban	Rhône-Alpes	46.0996	5.4614
01450	Poncin	Rhône-Alpes	46.0838	5.4097
01450	Challes-la-Montagne	Rhône-Alpes	46.1333	5.4667
01450	Mérignat	Rhône-Alpes	46.0691	5.4369
01450	Bolozon	Rhône-Alpes	46.1928	5.4746
01450	Cerdon	Rhône-Alpes	46.0851	5.4667
01460	Nantua	Rhône-Alpes	46.15	5.6167
01460	Béard-Géovreissiat	Rhône-Alpes	46.189	5.5502
01460	Port	Rhône-Alpes	46.1649	5.5677
01460	Montréal-la-Cluse	Rhône-Alpes	46.1833	5.5833
01460	Nurieux-Volognat	Rhône-Alpes	46.1857	5.528
01460	Brion	Rhône-Alpes	46.1729	5.5524
01460	Bureau de Poste de Montreal La Cluse	Rhône-Alpes	46.1716	5.5742
01460	Bureau de Poste de Nurieux Volognat	Rhône-Alpes	46.186	5.5278
01470	Briord	Rhône-Alpes	45.7829	5.4589
01470	Bureau de Poste de Serrieres De Briord	Rhône-Alpes	45.8075	5.4484
01470	Bénonces	Rhône-Alpes	45.8283	5.4736
01470	Montagnieu	Rhône-Alpes	45.7942	5.4682
01470	Serrières-de-Briord	Rhône-Alpes	45.807	5.4483
01470	Seillonnaz	Rhône-Alpes	45.8072	5.4913
01480	Beauregard	Rhône-Alpes	46.0006	4.7528
01480	Bureau de Poste de Ars Sur Formans	Rhône-Alpes	45.9936	4.8213
01480	Frans	Rhône-Alpes	45.9923	4.7758
01480	Bureau de Poste de Fareins	Rhône-Alpes	46.0185	4.7612
01480	Villeneuve	Rhône-Alpes	46.0214	4.8361
01480	Bureau de Poste de Jassans Riottier	Rhône-Alpes	45.984	4.7574
01480	Jassans-Riottier	Rhône-Alpes	45.9835	4.76
01480	Savigneux	Rhône-Alpes	45.9997	4.8467
01480	Fareins	Rhône-Alpes	46.0179	4.7599
01480	Messimy-sur-Saône	Rhône-Alpes	46.05	4.7667
01480	Ars-sur-Formans	Rhône-Alpes	45.9942	4.8231
01480	Chaleins	Rhône-Alpes	46.0306	4.8042
01500	Saint-Denis-en-Bugey	Rhône-Alpes	45.9489	5.3281
01500	Bureau de Poste de Amberieu Gare	Rhône-Alpes	45.954	5.3437
01500	Ambérieu-en-Bugey	Rhône-Alpes	45.9589	5.3432
01500	Bureau de Poste de St Maurice De Remens	Rhône-Alpes	45.9591	5.276
01500	Saint-Maurice-de-Rémens	Rhône-Alpes	45.9585	5.275
01500	Bureau de Poste de Amberieu En Bugey	Rhône-Alpes	45.9597	5.3581
01500	Château-Gaillard	Rhône-Alpes	45.9736	5.3067
01500	Bureau de Poste de Ambronay	Rhône-Alpes	46.0059	5.3611
01500	Ambutrix	Rhône-Alpes	45.938	5.3403
01500	Bureau de Poste de St Denis En Bugey	Rhône-Alpes	45.9516	5.3282
01500	Douvres	Rhône-Alpes	45.9889	5.3726
01500	Bettant	Rhône-Alpes	45.9435	5.3604
01500	Ambronay	Rhône-Alpes	46.0046	5.3611
01510	Bureau de Poste de Artemare	Rhône-Alpes	45.8741	5.6933
01510	Armix	Rhône-Alpes	45.8494	5.5866
01510	Artemare	Rhône-Alpes	45.8744	5.6937
01510	Pugieu	Rhône-Alpes	45.8202	5.6501
01510	Bureau de Poste de Virieu Le Grand	Rhône-Alpes	45.8482	5.6514
01510	Cheignieu-la-Balme	Rhône-Alpes	45.8333	5.6167
01510	Chavornay	Rhône-Alpes	45.8825	5.7159
01510	Talissieu	Rhône-Alpes	45.866	5.7242
01510	Saint-Martin-de-Bavel	Rhône-Alpes	45.849	5.6762
01510	Ordonnaz	Rhône-Alpes	45.8357	5.5376
01510	Rossillon	Rhône-Alpes	45.8325	5.5928
01510	La Burbanche	Rhône-Alpes	45.8467	5.5612
01510	Virieu-le-Grand	Rhône-Alpes	45.8485	5.6498
01540	Saint-Julien-sur-Veyle	Rhône-Alpes	46.2027	4.9575
01540	Bureau de Poste de Vonnas	Rhône-Alpes	46.2259	4.9934
01540	Vonnas	Rhône-Alpes	46.2187	4.9916
01540	Perrex	Rhône-Alpes	46.2442	4.9794
01550	Bureau de Poste de Collonges	Rhône-Alpes	46.1371	5.9031
01550	Farges	Rhône-Alpes	46.1675	5.9049
01550	Pougny	Rhône-Alpes	46.1392	5.9493
01550	Collonges	Rhône-Alpes	46.1389	5.9033
01560	Curciat-Dongalon	Rhône-Alpes	46.4744	5.1584
01560	Vescours	Rhône-Alpes	46.4727	5.0244
01560	Courtes	Rhône-Alpes	46.4667	5.1
